Date,Actual,Prophet,LSTM
2021-06-07,123.20812988281249,129.75122181183357,20344.385
2021-06-08,124.03016662597656,129.8547820411273,20335.64
2021-06-09,124.41183471679686,130.0681973709961,20340.45
2021-06-10,123.41363525390625,130.14265422394732,20357.68
2021-06-11,124.62710571289062,130.22717542379314,20375.432
2021-06-14,127.69022369384766,130.95372254590683,20401.865
2021-06-15,126.86815643310545,131.06175454401478,20456.37
2021-06-16,127.36727905273438,131.33951127851623,20522.111
2021-06-17,128.97218322753906,131.4804579383956,20596.59
2021-06-18,127.67061614990233,131.6346127448073,20685.791
2021-06-21,129.4713134765625,132.59715359951448,20771.236
2021-06-22,131.1153564453125,132.79487480488712,20863.492
2021-06-23,130.84133911132812,133.10959237100167,20968.494
2021-06-24,130.5575714111328,133.29359537291032,21075.482
2021-06-25,130.2639923095703,133.49672417595286,21176.617
2021-06-28,131.89828491210938,134.63677868265432,21266.42
2021-06-29,133.4151153564453,134.9012418669151,21356.154
2021-06-30,134.0316619873047,135.28473284698995,21453.002
2021-07-01,134.3350372314453,135.53827002325465,21555.08
2021-07-02,136.96754455566406,135.81031660883468,21658.432
2021-07-06,138.9834442138672,137.4549808969549,21777.781
2021-07-07,141.47898864746094,137.88235281625103,21918.104
2021-07-08,140.17739868164062,138.1706393455998,22085.67
2021-07-09,142.00741577148438,138.46719392556062,22254.764
2021-07-12,141.41043090820312,139.79954628184183,22430.701
2021-07-13,142.52606201171875,140.0922917981511,22598.21
2021-07-14,145.96102905273438,140.48367410216096,22759.992
2021-07-15,145.3053436279297,140.72378448278076,22935.69
2021-07-16,143.260009765625,140.96058933461097,23107.723
2021-07-19,139.40426635742188,142.05440349050147,23253.516
2021-07-20,143.02517700195312,142.2524763740041,23344.402
2021-07-21,142.2911834716797,142.54442594674026,23419.252
2021-07-22,143.66123962402344,142.68227527717545,23473.22
2021-07-23,145.38365173339844,142.81602570185117,23520.502
2021-07-26,145.80447387695312,143.6168342804399,23573.994
2021-07-27,143.6318817138672,143.72944142775515,23632.81
2021-07-28,141.8801727294922,143.94518192003662,23676.504
2021-07-29,142.52606201171875,144.01771757085925,23694.352
2021-07-30,142.74134826660156,144.09845516724695,23697.846
2021-08-02,142.40866088867188,144.8237798411043,23692.484
2021-08-03,144.20932006835938,144.9406783938362,23678.67
2021-08-04,143.80804443359375,145.17533864907767,23673.27
2021-08-05,143.9156951904297,145.28080183976962,23671.152
2021-08-06,143.22964477539062,145.40748026686296,23672.506
2021-08-09,143.18064880371094,146.3334666928491,23671.156
2021-08-10,142.70040893554688,146.5315369231684,23667.598
2021-08-11,142.95521545410156,146.85051777490384,23658.951
2021-08-12,145.9248809814453,147.040754028302,23649.004
2021-08-13,146.1306915283203,147.24983682251045,23660.965
2021-08-16,148.1104736328125,148.3800207814198,23689.416
2021-08-17,147.19900512695312,148.62246584384633,23743.318
2021-08-18,143.44528198242188,148.96964841616915,23805.799
2021-08-19,143.7784881591797,149.1696561131795,23843.057
2021-08-20,145.23883056640625,149.36812963330163,23862.996
2021-08-23,146.72854614257812,150.3303119636315,23880.264
2021-08-24,146.6403350830078,150.46887622846438,23905.877
2021-08-25,145.40541076660156,150.72284026978105,23935.582
2021-08-26,144.60179138183594,150.80629066308018,23957.623
2021-08-27,145.64065551757812,150.86603590868322,23967.19
2021-08-30,150.0706329345703,151.29763766180454,23975.234
2021-08-31,148.8063201904297,151.2295265338214,24015.12
2021-09-01,149.47280883789062,151.23228820883017,24066.15
2021-09-02,150.590087890625,151.05815880482425,24128.006
2021-09-03,151.22714233398438,150.85761283384082,24202.908
2021-09-07,153.56954956054688,150.22908942521227,24288.137
2021-09-08,152.02101135253906,150.01489308070754,24394.107
2021-09-09,151.00172424316406,149.64318743027536,24497.816
2021-09-10,146.00328063964844,149.26746147722295,24587.25
2021-09-13,146.5717315673828,148.57320954737466,24624.342
2021-09-14,145.1702117919922,148.20851254649213,24626.79
2021-09-15,146.06207275390625,147.96175583712534,24593.58
2021-09-16,145.82687377929688,147.58868589602298,24543.52
2021-09-17,143.15121459960938,147.24243603952496,24482.273
2021-09-20,140.0933837890625,146.81019725734993,24396.264
2021-09-21,140.57359313964844,146.584432645535,24274.209
2021-09-22,142.94541931152344,146.49818802438924,24136.28
2021-09-23,143.9058837890625,146.30413756230934,24011.598
2021-09-24,143.99411010742188,146.15206753598613,23909.752
2021-09-27,142.47496032714844,146.35722041910807,23830.111
2021-09-28,139.0838623046875,146.34980777114288,23758.924
2021-09-29,139.98556518554688,146.47874524128736,23671.695
2021-09-30,138.6820526123047,146.4932434968667,23583.96
2021-10-01,139.80914306640625,146.53985838176942,23489.873
2021-10-04,136.36904907226562,147.25432098020883,23404.23
2021-10-05,138.2998046875,147.38049966170306,23302.611
2021-10-06,139.172119140625,147.62239875198273,23209.182
2021-10-07,140.43641662597656,147.72840926903493,23132.434
2021-10-08,140.0541534423828,147.8447506905601,23080.871
2021-10-11,139.96597290039062,148.6413950167344,23046.912
2021-10-12,138.69183349609375,148.7560824689489,23026.53
2021-10-13,138.10382080078125,148.96975648616092,23007.06
2021-10-14,140.8970184326172,149.03292974302167,22984.57
2021-10-15,141.95556640625,149.0941986772286,22981.875
2021-10-18,143.6314697265625,149.6785159448104,23001.176
2021-10-19,145.79747009277344,149.71588160872275,23047.91
2021-10-20,146.2875213623047,149.8535054943298,23128.268
2021-10-21,146.5031280517578,149.8444740262752,23232.33
2021-10-22,145.72885131835938,149.8397733041366,23349.795
2021-10-25,145.67987060546875,150.28368934018116,23465.041
2021-10-26,146.34632873535156,150.29857762230012,23572.496
2021-10-27,145.88571166992188,150.42758875981895,23673.938
2021-10-28,149.53158569335938,150.42427105788374,23762.486
2021-10-29,146.81675720214844,150.43969260012398,23865.055
2021-11-01,145.9934844970703,151.02576836422182,23951.996
2021-11-02,147.03240966796875,151.112081555548,24017.744
2021-11-03,148.4730987548828,151.3221986876778,24073.043
2021-11-04,147.95367431640625,151.40791501311534,24129.047
2021-11-05,148.48367309570312,151.5183778724908,24179.027
2021-11-08,147.65921020507812,152.4049895840844,24226.55
2021-11-09,148.0223388671875,152.5896385708202,24263.898
2021-11-10,145.18577575683594,152.89381054086715,24295.094
2021-11-11,145.13670349121094,153.06746549182012,24299.025
2021-11-12,147.21749877929688,153.2580964108625,24283.234
2021-11-15,147.2273406982422,154.32547161247004,24269.78
2021-11-16,148.20884704589844,154.54740529011815,24258.703
2021-11-17,150.65284729003906,154.87655941695422,24257.523
2021-11-18,154.95187377929688,155.06283948901265,24281.967
2021-11-19,157.58233642578125,155.25396683404594,24355.84
2021-11-22,158.0436248779297,156.25621434283704,24481.059
2021-11-23,158.4264373779297,156.43739310361693,24640.209
2021-11-24,158.94664001464844,156.7182879844153,24818.486
2021-11-26,153.91146850585938,156.982302387806,25005.178
2021-11-29,157.27804565429688,157.79418176758833,25150.387
2021-11-30,162.24453735351562,157.91207315647378,25284.25
2021-12-01,161.7243194580078,158.13179704904945,25440.0
2021-12-02,160.73297119140625,158.20564221121631,25599.451
2021-12-03,158.8484649658203,158.2835872189476,25746.646
2021-12-06,162.26414489746094,158.96125397552368,25863.92
2021-12-07,168.01583862304688,159.04433399794166,25979.918
2021-12-08,171.84375,159.23391760600998,26132.002
2021-12-09,171.3333435058594,159.28181555785758,26330.605
2021-12-10,176.13294982910156,159.33735414156598,26548.738
2021-12-13,172.49154663085938,159.96051040075244,26805.959
2021-12-14,171.10758972167972,160.02637853704306,27050.393
2021-12-15,175.98574829101562,160.19750631704173,27263.662
2021-12-16,169.07583618164062,160.22470346948538,27480.262
2021-12-17,167.97659301757812,160.25637254044167,27636.23
2021-12-20,166.61227416992188,160.78159647259415,27734.389
2021-12-21,169.79237365722656,160.80447335422616,27776.518
2021-12-22,172.3934020996094,160.92717157795138,27800.82
2021-12-23,173.02154541015625,160.90069241087878,27830.498
2021-12-27,176.9967041015625,161.20281045614442,27867.482
2021-12-28,175.97592163085938,161.15711321300608,27937.816
2021-12-29,176.06430053710935,161.21205418413624,28020.635
2021-12-30,174.90609741210938,161.12029838857873,28109.33
2021-12-31,174.2877349853516,161.0324514293474,28189.164
2022-01-03,178.64561462402344,161.22201264237597,28254.22
2022-01-04,176.37835693359375,161.15037814507926,28337.69
2022-01-05,171.68670654296878,161.1923776900114,28412.602
2022-01-06,168.8206787109375,161.1020741318428,28443.521
2022-01-07,168.9875335693359,161.03124541147918,28421.059
2022-01-10,169.0072021484375,161.3727909994291,28363.254
2022-01-11,171.84375,161.21128177954853,28283.273
2022-01-12,172.2854156494141,161.18024281368267,28212.71
2022-01-13,169.0072021484375,161.03292135140927,28155.51
2022-01-14,169.87091064453122,160.91990843996376,28086.725
2022-01-18,166.66136169433594,161.21870159393504,28020.172
2022-01-19,163.1573486328125,161.3651115618961,27934.5
2022-01-20,161.4691162109375,161.39630183262008,27813.893
2022-01-21,159.40797424316406,161.4598089274308,27662.117
2022-01-24,158.63255310058594,162.23285638310952,27480.295
2022-01-25,156.82655334472656,162.38212027140946,27280.414
2022-01-26,156.73822021484375,162.64857890791376,27064.098
2022-01-27,156.27688598632812,162.7799412255817,26846.264
2022-01-28,167.1815643310547,162.92140138836575,26634.602
2022-01-31,171.5492706298828,163.77678650583223,26518.979
2022-02-01,171.38243103027344,163.8989391591169,26509.006
2022-02-02,172.5897064208984,164.1100976295373,26573.742
2022-02-03,169.70404052734372,164.15813271320357,26697.445
2022-02-04,169.4190368652344,164.18888185837756,26834.832
2022-02-07,168.70162963867188,164.56130090194165,26972.537
2022-02-08,171.81698608398438,164.47887648445266,27097.426
2022-02-09,173.24198913574216,164.46799509503208,27229.615
2022-02-10,169.15370178222656,164.27962906443392,27370.27
2022-02-11,165.73370361328125,164.06298056470598,27479.395
2022-02-14,165.96954345703125,163.66356887485307,27535.83
2022-02-15,169.81214904785156,163.32655313002613,27554.092
2022-02-16,169.57627868652347,163.06870080319598,27572.828
2022-02-17,165.96954345703125,162.64461026998194,27589.023
2022-02-18,164.41676330566406,162.20692782227368,27576.42
2022-02-22,161.4881591796875,160.79265894208405,27533.23
2022-02-23,157.31138610839844,160.4287324352167,27448.918
2022-02-24,159.93539428710938,159.92722716671793,27308.875
2022-02-25,162.0089874267578,159.44166170019156,27156.2
2022-02-28,162.27432250976562,158.5331018180126,27017.156
2022-03-01,160.3874053955078,158.13239271280472,26896.8
2022-03-02,163.6894989013672,157.86521977194423,26781.982
2022-03-03,163.36521911621094,157.4857615524568,26701.713
2022-03-04,160.35794067382812,157.14544334007581,26647.166
2022-03-07,156.55465698242188,156.78668884834786,26591.285
2022-03-08,154.72671508789062,156.59784081692038,26508.906
2022-03-09,160.14175415039062,156.55177380020524,26398.01
2022-03-10,155.78811645507812,156.39954857035625,26312.39
2022-03-11,152.06336975097656,156.28949084896522,26215.72
2022-03-14,148.02423095703125,156.6100307747727,26088.691
2022-03-15,152.4171905517578,156.63467259914975,25916.135
2022-03-16,156.83966064453125,156.79159438179727,25752.57
2022-03-17,157.85191345214844,156.82982333776658,25635.896
2022-03-18,161.15399169921875,156.8959426494397,25565.924
2022-03-21,162.52984619140625,157.64658164739305,25557.68
2022-03-22,165.9105682373047,157.69238247269286,25603.979
2022-03-23,167.276611328125,157.85217006115732,25711.982
2022-03-24,171.07009887695312,157.8750840797031,25868.268
2022-03-25,171.70887756347656,157.90809014598307,26079.057
2022-03-28,172.57371520996094,158.45992364077637,26322.123
2022-03-29,175.87583923339847,158.49642227809886,26582.014
2022-03-30,174.70632934570312,158.63408293127372,26864.89
2022-03-31,171.60079956054688,158.62342047785933,27140.475
2022-04-01,171.3059539794922,158.61282095493465,27373.941
2022-04-04,175.3647918701172,158.98784811775127,27563.82
2022-04-05,172.04302978515625,158.9545926593168,27743.316
2022-04-06,168.8686981201172,159.01914589974226,27881.438
2022-04-07,169.17337036132812,158.93309236150648,27960.74
2022-04-08,167.15869140625,158.84575673636644,27997.354
2022-04-11,162.89346313476562,158.9897582504301,27987.12
2022-04-12,164.77058410644528,158.88091372544653,27913.205
2022-04-13,167.46331787109378,158.87108362820905,27812.68
2022-04-14,162.44142150878906,158.71195881717023,27718.215
2022-04-18,162.2252197265625,158.4881606195748,27595.615
2022-04-19,164.51501464843747,158.31123993781608,27458.645
2022-04-20,164.34796142578128,158.2336642179524,27335.291
2022-04-21,163.55189514160156,158.006881829917,27226.328
2022-04-22,159.001708984375,157.78000561565625,27127.287
2022-04-25,160.07296752929688,157.51000528380933,27006.404
2022-04-26,154.0977325439453,157.26397416567497,26884.264
2022-04-27,153.87168884277344,157.11716754947852,26722.143
2022-04-28,160.81985473632812,156.82131498772515,26538.303
